用户名,评分,内容
骑单车的女饼干,30,                        孩子说，我的错全是大人的错。 大人呢？则辩解，我的错全是社会的错。 读了这么多推理小说 ，有时候会疑心，现今的作者，真心爱的只有凶手。 具体到紫金陈这位作者，他的一系列作品，尤其是《谋官》系列，令人读毕，不适感异常强烈。 虐待虐杀时有所见，高智商的凶手大人坚持一...                                            
仙贝,10,                        因为电视剧才来看小说的，中途一度因为文笔看不下去，最后实在因为网上评价太高了，才看完的。 看完之后只想说：就这？剧情过于不合理了，这小说只能衬托出电视剧的改编有多好。 我几乎是两边一起看的，电视剧里的人设要完整太多了，所有逻辑都十分通顺，反观小说，我只觉得有...                                            
翊卫羽林中郎将,30,这篇书评可能有关键情节透露                        故事其实还凑合，逻辑上要是能在设定好一些的话就更好了。但是文笔嘛，真的难以恭维，简直就是地摊儿文学的水平，粗俗且流水账的表达只能一目十行的看，生怕一定神儿就看不下去。 在怎么原生家庭受母亲平时言语影响，也不能从一个十三岁少年的嘴里不停的冒出“婊子”、“小婊子...                                            
Judy,10,                        如果说逻辑全无，文笔粗俗还能忍一忍的话，连常识都没有的作者真的没法忍。 连我这种外行小白都知道凶杀案是至少要尸检的，而尸检不是拿眼睛看一看就结束的常识，作者都不知道还学人家写推理小说？exm? 真的是黑人问号脸了…… 人家写完书被拍成剧都是仰天长叹一声，好好一本好...                                            
简,20,                        逻辑零分。书里面的警察和法医全部都被写成了废物。破案全凭道听途说。就最后一节。死了三个人。小孩划伤自己说是跟凶手搏斗过程受伤。凶手也在搏斗中死了。我想问警察勘查现场的时候都没看出来现场没有任何搏斗的痕迹吗，小孩自己的划伤和搏斗中受伤的划痕的方向能一样吗。哪...                                            
文若信,40,这篇书评可能有关键情节透露                        最近爆火的一部剧叫《隐秘的角落》，20万人评分高达9分，在国产剧烂片的浪潮中，也算是部良心高分剧了。 不过，今天阿文讲述的并非网剧本身，而是它的原著《坏小孩》，三个小孩和一个成年人，在暑假连续犯下的惊天大案，完全颠覆了小孩在我心中的印象，让人思之恐极。 没有人生...                                            
康愉子,40,                        《坏小孩》不同于陈大以往的推理小说，这一点作者早早就做过说明，大有“喜欢你就看，不喜欢拉倒”之势。确实，这是小众题材类作品，首先，选择小孩犯罪的题材，在犯罪手段选择上有明显局限性；其次，几乎没有悬念，谜底从一开始就是摊开来的，也就无所谓推理。光是这两点，对...                                            
ameng,50,                               当“天使长”成长为撒旦，就再也没有办法回归天堂。基督教的审判从来都是灵魂的审判，恶与善，丑与美。无论外表怎样伪装，内心深处总会知道自己到底有着怎样的灵魂。   　　这是我人生的第一篇书评。   　　今天看了《坏小孩》，中间实在是不忍看着悲剧的发生而束手无策...                                            
半缘君,30,这篇书评可能有关键情节透露                        字数多了些，开个书评。 故事谈不上毛骨悚然，但是难受程度10+。 整个故事最大的bug是，为了表现未成年小孩的恶而安排他教唆成年人杀人，并且构陷他人的情节。朱朝阳，确实是一个非常高智商的小孩，规划犯罪算是合理，但是，作为杀了三个人而不动声色并且逃脱法律追究的张老师...                                            
ww,30,这篇书评可能有关键情节透露                        推理故事书，总是能吸引人读下去，不搞清楚这是怎么回事，不能罢休。 可这个故事看完，让人觉得好牵强。  朱朝阳被塑造成一个原本隐忍而聪明的不到14岁的初中生，因为被父亲忽略被继母欺凌，最终竟然成为一系列杀人案最终的boss，并且制造完美的证据链，让自己逃脱了警察的追踪...                                            
梦行30,50,这篇书评可能有关键情节透露                        以下全是剧透。是剧透。剧透。透   → → → → →        我不知道，不知道朱朝阳是什么时候开始决定让普普和耗子当替死鬼的，他疯狂写日记的时候，我还莫名其妙，我不知道，朱朝阳是什么时候变成这样的，如果是因为爸爸和大婊子小婊子的态度，侮辱，欺负。  我不知道朱朝阳考...                                            
止欤,20,这篇书评可能有关键情节透露                        2.5 第一次书评不喜勿喷，右键返回谢谢。 不知道说中国版白夜行的怎么想的，是没看过原著？白夜行的文笔、逻辑、层层递进的人物关系与深切的人物心理和发展状态的描写，包括最终的升华点和人性反思，相比坏小孩完全不一样且不一个level好吧，如果要定性，白夜行应该是一个孩子...                                            
maimailiang,20,                        看完东野圭吾《白夜行》《恶意》以后过来，把评分毫不犹豫降低了。小孩心怀不轨---《白夜行》，凶手编造假的日记/手记以希望误导警方---《恶意》。而且跟这两部小说中间大概差了有一百个《解忧杂货店》吧。 ---------------------------------------- 作者对案件的描述节奏把控...                                            
民,40,这篇书评可能有关键情节透露                        本文严重剧透，需慎看！！ 首先对本书的构思、剧情给予高度评价，情节紧凑，结局出乎意料。但是个人觉得文笔显得有些幼稚，很多没有必要的本地化情节，比如吃肯德基、打游戏等等，而且从叙事结构而言，最后以日记形式嫁祸给两个小伙伴，由于前面埋了伏笔，显得不是那么的震撼。...                                            
兔灬小美,30,这篇书评可能有关键情节透露                        看完有点不知道该怎么来评论这本书。 比起前作《无证之罪》，这本《坏小孩》几乎看不到什么逻辑缜密的推理。大量模仿少年语气的对白，配着一点也不少年的剧情，让人只觉得啰嗦。老实说，一度想弃坑，不过看在篇幅本就不长的份上，还是看完了。 和前作相同的是，最终还是落在了...                                            
熊白白,50,这篇书评可能有关键情节透露                        朱朝阳之于张东升，与其说是师徒，不如说是父子。 能培养出这样的接班人，张东升九泉之下想必也很欣慰吧？ 朱朝阳初试牛刀，跟师傅学会了推人下楼；再之后跟师傅学会了杀父母；再之后，是杀死自己的心上人。精彩的对位法，美学层面上升到了《嫌疑人X的献身》的高度。 知父莫如...                                            
ameng,50,                               当“天使长”成长为撒旦，就再也没有办法回归天堂。基督教的审判从来都是灵魂的审判，恶与善，丑与美。无论外表怎样伪装，内心深处总会知道自己到底有着怎样的灵魂。   　　这是我人生的第一篇书评。   　　今天看了《坏小孩》，中间实在是不忍看着悲剧的发生而束手无策...                                            
半缘君,30,这篇书评可能有关键情节透露                        字数多了些，开个书评。 故事谈不上毛骨悚然，但是难受程度10+。 整个故事最大的bug是，为了表现未成年小孩的恶而安排他教唆成年人杀人，并且构陷他人的情节。朱朝阳，确实是一个非常高智商的小孩，规划犯罪算是合理，但是，作为杀了三个人而不动声色并且逃脱法律追究的张老师...                                            
ww,30,这篇书评可能有关键情节透露                        推理故事书，总是能吸引人读下去，不搞清楚这是怎么回事，不能罢休。 可这个故事看完，让人觉得好牵强。  朱朝阳被塑造成一个原本隐忍而聪明的不到14岁的初中生，因为被父亲忽略被继母欺凌，最终竟然成为一系列杀人案最终的boss，并且制造完美的证据链，让自己逃脱了警察的追踪...                                            
梦行30,50,这篇书评可能有关键情节透露                        以下全是剧透。是剧透。剧透。透   → → → → →        我不知道，不知道朱朝阳是什么时候开始决定让普普和耗子当替死鬼的，他疯狂写日记的时候，我还莫名其妙，我不知道，朱朝阳是什么时候变成这样的，如果是因为爸爸和大婊子小婊子的态度，侮辱，欺负。  我不知道朱朝阳考...                                            
止欤,20,这篇书评可能有关键情节透露                        2.5 第一次书评不喜勿喷，右键返回谢谢。 不知道说中国版白夜行的怎么想的，是没看过原著？白夜行的文笔、逻辑、层层递进的人物关系与深切的人物心理和发展状态的描写，包括最终的升华点和人性反思，相比坏小孩完全不一样且不一个level好吧，如果要定性，白夜行应该是一个孩子...                                            
maimailiang,20,                        看完东野圭吾《白夜行》《恶意》以后过来，把评分毫不犹豫降低了。小孩心怀不轨---《白夜行》，凶手编造假的日记/手记以希望误导警方---《恶意》。而且跟这两部小说中间大概差了有一百个《解忧杂货店》吧。 ---------------------------------------- 作者对案件的描述节奏把控...                                            
民,40,这篇书评可能有关键情节透露                        本文严重剧透，需慎看！！ 首先对本书的构思、剧情给予高度评价，情节紧凑，结局出乎意料。但是个人觉得文笔显得有些幼稚，很多没有必要的本地化情节，比如吃肯德基、打游戏等等，而且从叙事结构而言，最后以日记形式嫁祸给两个小伙伴，由于前面埋了伏笔，显得不是那么的震撼。...                                            
兔灬小美,30,这篇书评可能有关键情节透露                        看完有点不知道该怎么来评论这本书。 比起前作《无证之罪》，这本《坏小孩》几乎看不到什么逻辑缜密的推理。大量模仿少年语气的对白，配着一点也不少年的剧情，让人只觉得啰嗦。老实说，一度想弃坑，不过看在篇幅本就不长的份上，还是看完了。 和前作相同的是，最终还是落在了...                                            
熊白白,50,这篇书评可能有关键情节透露                        朱朝阳之于张东升，与其说是师徒，不如说是父子。 能培养出这样的接班人，张东升九泉之下想必也很欣慰吧？ 朱朝阳初试牛刀，跟师傅学会了推人下楼；再之后跟师傅学会了杀父母；再之后，是杀死自己的心上人。精彩的对位法，美学层面上升到了《嫌疑人X的献身》的高度。 知父莫如...                                            
警世之祭,30,                        紫金陈可能算是国产推理里的最近风头最盛的人了。但是，国产推理真的差别人一大截。 这个故事可能还不错，但是作者的文笔太幼稚了，叙事逻辑也不高级。 紫金陈可能算是国产推理里的最近风头最盛的人了。但是，国产推理真的差别人一大截。 这个故事可能还不错，但是作者的文笔太...                                            
pooniu,50,这篇书评可能有关键情节透露                        不得不说，紫金陈把整本书的节奏掌握的太好了！并不同于其他推理，从一开始我们就清楚整个事件的脉络（作案的动机及过程），而这本书从一开始似乎都只是在讲述，两个问题少年和一个优等生在成长过程中遇到的一些不平常的事件。直到读到最后一章，你才知道，作者想表达的坏小孩...                                            
芝麻小元宵,40,                        问题儿童、校园欺凌、少年犯罪，紫金陈的这部推理小说触及到了冰山下的一角，读来让人忍不住倒吸一口凉气。很奇怪的是，我们不仅抛却了小孩子看待世界的单纯眼光，也忘了孩子的所思所想不能以简单肤浅一概而论。书中的三个小孩穿梭于灰色地带中，把大人玩得团团转，这份心计和...                                            
一爻,10,                        为什么难受 作为东大的忠实读者， 我看的第一本是《白夜行》，然后是《嫌疑人X的献身》，《恶意》之后陆陆续续看了《圣女的救济》，《放学后》，《悖论十三》等等等等。 最喜欢的质量最好的就是这前三本。 所以看到后面日记一出来，马上就反应过来了，就跟吃了苍蝇一样。 难受...                                            
左岸,30,这篇书评可能有关键情节透露                        昨晚通宵读完了这本书，第一印象就是《坏小孩》是《白夜行》式的故事，加上《无间道》式的结局。 其实书的真正结局不是严良会不会放过朱朝阳，而是朱朝阳自己以后的抉择，向善还是为恶？别忘了朱朝阳还未满14周岁，所以严良的决定并不重要，重要的是朱朝阳自己的抉择，向善就是...                                            
竖锯老头,50,这篇书评可能有关键情节透露                        早上9点收到这本书，一口气看到下午2点看完，心情有点激动，这才想起来还没吃饭，叫了份牛肉面过来，吃不下，就喝了点汤，剩下多半碗都给倒了。 首先，我很气愤，这小兔崽子，弄死他算了，马比的，活在这世上也是渣！，但过了一会，我又很兴奋，行啊，这小子，人才啊！以后就是...                                            
月冷西窗,30,这篇书评可能有关键情节透露                        吐血整理。总体上，我个人更喜欢电视剧的改编。小说给人一种用力过度的感觉，人物的语气、情感都十分强烈和粗暴，满书都是“婊子”。而且情节的安排也不太合理，作者完全是按成年人的方式去塑造了朱朝阳这个角色，明显与一名初中生的心智不符。 电视剧对人物的塑造更加立体，每...                                            
改个名字换个心,40,这篇书评可能有关键情节透露                        花两天看完了最近很火的隐秘的角落原著《坏小孩》，再此随便写一点所感所想。 张东升和朱朝阳 两人本来都拿着最好的男主剧本，家境清寒，却又聪明努力，心思缜密。另外，朝阳东升（旭日东升），象征两人都拥有着非凡的未来，却因为遭到爱情，亲情这世间最美的两种情感的背弃从...                                            
christine88,50,这篇书评可能有关键情节透露                        我是一个三岁男孩的母亲，看《坏小孩》的时候特别留心了朱朝阳的妈妈的是怎么影响到朱朝阳成长的。 朱朝阳妈妈周春红本质上是老实本分的人，甚至可以说算“好人”。替病了的同事顶班，让儿子孝敬祖父母。但她却是朱朝阳形成这种悲剧性格的主要责任人。为什么？ 1.从朱朝阳开篇...                                            
季随风,30,这篇书评可能有关键情节透露                        这个夏天，“爬山”成了最热门的邀约项目，“小白船”成了最冷门的童年歌曲。《隐秘的角落》大火让大家再次看到了国产剧的希望。 我是一个喜欢变相跟风的人儿，在大伙儿一个个热情高涨追正剧时，我剑走偏锋看起了改编自的原著《坏小孩》，再结合原著看了各大平台上的一些优质正...                                            
警世之祭,30,                        紫金陈可能算是国产推理里的最近风头最盛的人了。但是，国产推理真的差别人一大截。 这个故事可能还不错，但是作者的文笔太幼稚了，叙事逻辑也不高级。 紫金陈可能算是国产推理里的最近风头最盛的人了。但是，国产推理真的差别人一大截。 这个故事可能还不错，但是作者的文笔太...                                            
pooniu,50,这篇书评可能有关键情节透露                        不得不说，紫金陈把整本书的节奏掌握的太好了！并不同于其他推理，从一开始我们就清楚整个事件的脉络（作案的动机及过程），而这本书从一开始似乎都只是在讲述，两个问题少年和一个优等生在成长过程中遇到的一些不平常的事件。直到读到最后一章，你才知道，作者想表达的坏小孩...                                            
芝麻小元宵,40,                        问题儿童、校园欺凌、少年犯罪，紫金陈的这部推理小说触及到了冰山下的一角，读来让人忍不住倒吸一口凉气。很奇怪的是，我们不仅抛却了小孩子看待世界的单纯眼光，也忘了孩子的所思所想不能以简单肤浅一概而论。书中的三个小孩穿梭于灰色地带中，把大人玩得团团转，这份心计和...                                            
一爻,10,                        为什么难受 作为东大的忠实读者， 我看的第一本是《白夜行》，然后是《嫌疑人X的献身》，《恶意》之后陆陆续续看了《圣女的救济》，《放学后》，《悖论十三》等等等等。 最喜欢的质量最好的就是这前三本。 所以看到后面日记一出来，马上就反应过来了，就跟吃了苍蝇一样。 难受...                                            
左岸,30,这篇书评可能有关键情节透露                        昨晚通宵读完了这本书，第一印象就是《坏小孩》是《白夜行》式的故事，加上《无间道》式的结局。 其实书的真正结局不是严良会不会放过朱朝阳，而是朱朝阳自己以后的抉择，向善还是为恶？别忘了朱朝阳还未满14周岁，所以严良的决定并不重要，重要的是朱朝阳自己的抉择，向善就是...                                            
竖锯老头,50,这篇书评可能有关键情节透露                        早上9点收到这本书，一口气看到下午2点看完，心情有点激动，这才想起来还没吃饭，叫了份牛肉面过来，吃不下，就喝了点汤，剩下多半碗都给倒了。 首先，我很气愤，这小兔崽子，弄死他算了，马比的，活在这世上也是渣！，但过了一会，我又很兴奋，行啊，这小子，人才啊！以后就是...                                            
月冷西窗,30,这篇书评可能有关键情节透露                        吐血整理。总体上，我个人更喜欢电视剧的改编。小说给人一种用力过度的感觉，人物的语气、情感都十分强烈和粗暴，满书都是“婊子”。而且情节的安排也不太合理，作者完全是按成年人的方式去塑造了朱朝阳这个角色，明显与一名初中生的心智不符。 电视剧对人物的塑造更加立体，每...                                            
改个名字换个心,40,这篇书评可能有关键情节透露                        花两天看完了最近很火的隐秘的角落原著《坏小孩》，再此随便写一点所感所想。 张东升和朱朝阳 两人本来都拿着最好的男主剧本，家境清寒，却又聪明努力，心思缜密。另外，朝阳东升（旭日东升），象征两人都拥有着非凡的未来，却因为遭到爱情，亲情这世间最美的两种情感的背弃从...                                            
christine88,50,这篇书评可能有关键情节透露                        我是一个三岁男孩的母亲，看《坏小孩》的时候特别留心了朱朝阳的妈妈的是怎么影响到朱朝阳成长的。 朱朝阳妈妈周春红本质上是老实本分的人，甚至可以说算“好人”。替病了的同事顶班，让儿子孝敬祖父母。但她却是朱朝阳形成这种悲剧性格的主要责任人。为什么？ 1.从朱朝阳开篇...                                            
季随风,30,这篇书评可能有关键情节透露                        这个夏天，“爬山”成了最热门的邀约项目，“小白船”成了最冷门的童年歌曲。《隐秘的角落》大火让大家再次看到了国产剧的希望。 我是一个喜欢变相跟风的人儿，在大伙儿一个个热情高涨追正剧时，我剑走偏锋看起了改编自的原著《坏小孩》，再结合原著看了各大平台上的一些优质正...                                            
书读得太少,20,                        这本书如果按推理小说来评价，那真是半毛钱的推理，全部杀人案情内容靠张朝阳的“假日记”揭晓，最后靠专家的鉴定，这日子是一个月内写的，严良知道了张朝阳的日记全部内容都是假的，是为了欺骗警方。 看完了毫无恍然大悟之感，因为日记里的内容就是前面全部章节内容的缩减。 ...                                            
👀,10,                        在和我的老父亲一起爬了某不知名小山头后，决定就早先读过的《坏小孩》一书抒发一下感想。 本来想用十分激烈、谐谑的言辞来讽刺该书的文字有多么粗糙，但写了一小段文字后发现我的似乎也好不到哪里去。 扬长避短，我决定不做任何分析，仅根据大概三个小时的不连续观书体验简单...                                            
[已注销],10,                        全书仅仅18万字。密密麻麻全是脏话。 “婊子”共出现210次。“阴毛”13次。“变态”13次。“白痴”7次。“流氓”10次。“大便”35次。“厕所”60次。“强奸/奸杀”10次。“恶心”6次。“畜生”19次。“卑鄙”7次。“屁”共出现16次，“狗屁儿子”“有屁用”“放臭屁”“放屁精...                                            
好学的少年,40,                        因为追剧《隐秘的角落》特意看了原著《坏小孩》，果然原著更加黑暗，没有人天生就会作恶，也没有人会永远善良，张东升一开始只是想维持婚姻，当他对婚姻不再抱有希望时，内心的恶之花就吞噬了他，他杀死了岳父岳母，杀死了妻子，虽然完美的作案手段骗过了警察，他怎么也想不到...                                            
推理的艺术,40,                        《坏小孩》一如既往有着鲜明的紫金陈风格——经典的倒叙开头、复杂的社会背景、天真的诡计、万年酱油高栋（不是），以及广受吐槽的平铺直叙的文笔。但其实我个人感觉，紫金陈这样的文字让人很愿意读下去，像《长夜难明》开头略显雕饰的文字反而很违和。 腰封上的“全程无推理”...                                            
我不干净了呢,50,这篇书评可能有关键情节透露                        最近在网上看完了《隐秘的角落》于是慕名而来，看这部紫金陈的原著。 这本书语言直白，我只花了半个晚上我就看完了，看完之后个人认为是一本非常好的小说。 我这个人是相信风水的，我所理解的风水，不是山川地势奇门八卦，而是环境对人施加的影响。你所接触到的人，你所处的环...                                            
当麻君,30,这篇书评可能有关键情节透露                        高中时我的老师就给我们推荐紫金陈的作品，还直接把《化工女王的逆袭》的底给我们泄了。后来又听说了他的《长夜难明》，也一直拖着没读。最近听说改编的网剧《隐秘的角落》反响很好，豆瓣上面为此撕了一波；碰巧深夜失眠，我这次没有再拖延，把这本原作《坏小孩》翻出来连夜读...                                            
Lesmilk,30,                        剧过来的。三小时关书。身为推理小说漏洞不算少，文笔太糙。故事架构似曾相识，想不起来在哪里曾经咂摸过的某种配方。 我一直认为，孩子的恶或许是不能被大人所估量的。对恶无觉知，才没有限制他们对作恶的想象力。就像很小的时候我们撕掉蜻蜓的翅膀，却从来不曾考虑过它们是不...                                            
沙丁鱼2,30,                        因为打算看《隐秘的角落》，花了几小时一口气读完紫金陈这本原著。 总体评价：故事硬核，我喜欢小孩的狠劲，但部分构思模仿痕迹太重，大部分文字描写有些地摊文学化。 首先是杀人动机的叠加，各命案的杀人手法，以及三个小孩的角色塑造，处处都是东野圭吾的痕迹。这一点恐怕对...                                            
不苦,30,                        被《坏小孩》书名所吸引，想知道小孩子到底会坏到什么程度，但是不知道该怎么说，但是确实展现了人性的另一面，小孩子也不全是简单的。 张东升为了爱情，放弃了前程，入赘了徐家，最后为了尊严或是男人的自尊心杀了徐家满门。 徐静为了爱情嫁给了门不当户不对的张东升，因为两...                                            
